tweet_id,tweet_created_at_ts,user_screen_name,user_location,tweet_place_name,tweet_place_country_code,tweet_text
992360901150953474,1525432250,ChrisCurran_IRE,"Dun Laoghaire-Rathdown, Irelan",Dun Laoghaire-Rathdown,IE,"@eir why is my mobile phone service suspended? Balance on account is €0.00. 

Ring me !"
992361576408723456,1525432411,Watersun555,Dublin Ireland ,South Dublin,IE,http://217.218.67.231/Detail/2018/05/04/560566/UAE Yemen Socotra occupation
992364701173600258,1525433156,NewToMyHome,Ireland,Clare,IE,"Station Road, Lahinch, Clare ⇨ €250,000 | 5 Bed Detached House 149.86 .. | https://t.co/5m3KW0YC3N | #clare_1 #lahinch"
992462218737352704,1525456406,PotatoForeman,The Emerald (City) Isle,Wicklow,IE,@SayWah92 LMAO every time
992462231320317952,1525456409,DanyeCorr,"Drimnagh, Dublin 12",Dublin City,IE,"Tough session in a great facility! 

If your looking to train and your based in Dublin 12 or the surrounding areas the Dublin Fit Club is the place to be! 

@DublinFitClub https://t.co/a8mlMTT6fb"
992452798322302977,1525454160,JacintaMaher,"Dublin City, Ireland",Dublin City,IE,@oliviajadee @jamescharles  that would be ICONIC 😩😍😍
992462386517995520,1525456446,CratloeGAAClub,"Cratloe, Co. Clare, Ireland",Clare,IE,Féile Football Doora/Barefield 2-7 Cratloe 2-4 FT
992450759919919105,1525453674,ryanlennon10,"Dublin City, Ireland",Fingal,IE,Gas seeing Cunts who think they’re twitter famous get roasted
992454530582417408,1525454573,martinmeany,"Dublin City, Ireland",Dublin City,IE,Grafton Street is riddled with people in pink. Make it your mission to talk with someone on the fence or get someone to vote. The clock is ticking on us making a positive mark on history
992451967854276609,1525453962,MF166,Luxembourg,Dublin City,IE,@BridgesofDublin all set for a beautiful weekend https://t.co/UxY3YtRn1K
992451665889513472,1525453890,seno24,miami.FL,Dublin City,IE,"#dublin #downtown #ireland @ Dublin, Ireland https://t.co/SJPTOLD8rB"
992450101414125573,1525453517,Coffie007,In bed with Bae ,Galway,IE,@MissJBKA Thanks hunny 💕
992450185275039745,1525453537,ie_jon,Dublin/Ireland.,Dublin City,IE,@andrevr @Apple That’s good news. Maybe just some rogue app draining it today.
992451238070571009,1525453788,BenRiceM,"Williamsburg, New York",Dublin City,IE,"@stroughtonsmith Recent contacts in the share sheet. 

The “Obscura wants permission to edit this image” dialogue that appears every time you apply a non-destructive edit, to go away forever

A better home for Control Center"
992462923372036096,1525456574,danomuirigh98,Beal Feirste,Meath,IE,@ConorMcManus9 Your childhood hero was Pascal Chimbonda
992531483461025792,1525472920,JacquesSalade,Europe,Kildare,IE,Much as you did in your ridiculous and failed Tory leadership bid... https://t.co/gK5efjCOPb
992534817936994305,1525473715,SileWalsh1,Cork,Cork,IE,"@BobbleheadMo Under 40, 7 years working for self in a coaching practice based in Cork"
992532943091384321,1525473268,Rio17gfc,"Dublin City, Ireland",Dublin City,IE,"Lesson for the day.

U can be the smartest cunt in the world; but nothing beats people skills.... nothing 👍🏻🤙🏻🥃"
992533794560331778,1525473471,AthenryOptician,"091 850546 Athenry, Co. Galway",Galway,IE,Amazingly strong women. I applaud them for telling their stories. The justice system in Ireland is a disgrace that we should all be ashamed of #latelate
992529491183489024,1525472445,smurphser,,Leitrim,IE,"After 3 months out of Ireland, thank god Linda Martin is still getting a gig on the Late Late... 🙌🏼
#standard #LateLateShow #thisiswhatimissedmost"
992526064458063872,1525471628,Torrard08,,Wicklow,IE,@markb2004 @doyler61 https://t.co/MOFVKl1zoi
992534360774627328,1525473606,eoinyk,"South Tipperary, Ireland",South Tipperary,IE,#MayThe4thBeWithYou https://t.co/Epm7mxO2L9
992527507298639872,1525471972,XARAPORN,Irland,Mayo,IE,@DianaMurtagh  https://t.co/K9LGa0FC9c
992537280022761472,1525474302,KickAssCantona,"Dublin City, Ireland",Dublin City,IE,@dutchingmarkets @Cait_Lawlor 🤣🤣🤣🤣🤣
992530510386810880,1525472688,_Hay_leigh_,"Athlone, Ireland",West Meath,IE,https://t.co/iAXVrBqYzr
